gene_id,gene_symbol,means,variances,variances_norm,highly_variable_rank
ENSG00000162444.12,RBP7,0.8081429990069513,3.4848875036330753,2.202415243668418,555.0
ENSG00000196581.11,AJAP1,0.00506454816285998,0.008614729173075196,1.4155546925724563,1882.0
ENSG00000169403.12,PTAFR,0.49533267130089376,1.2510955045735566,1.5100588216440791,1433.0
ENSG00000142627.13,EPHA2,0.009136047666335651,0.019580840561594707,1.7072398764586443,1004.0
ENSG00000028137.19,TNFRSF1B,2.3428003972194635,13.90690764016272,1.7844613168490295,896.0
ENSG00000159339.13,PADI4,0.34826216484607747,1.160953877036926,2.1606499825894248,579.0
ENSG00000092853.14,CLSPN,0.03346573982125124,0.17973205339956685,4.018096330638905,176.0
ENSG00000230138.2,LINC02812,0.07398212512413108,0.20378223426184552,2.0181618917110518,682.0
ENSG00000240563.2,L1TD1,0.03167825223435948,0.0616639822760194,1.458672339006931,1589.0
ENSG00000153898.13,MCOLN2,0.06544190665342602,0.15273351708366198,1.7152970888534085,994.0
ENSG00000230817.6,LINC01362,0.00039721946375372393,0.0005957305712727168,1.4374554369243873,1774.0
ENSG00000116774.12,OLFML3,0.0008937437934458789,0.0016875515250629645,1.7231131345838728,971.0
ENSG00000228086.1,ENSG00000228086.1,0.00039721946375372393,0.0005957305712727168,1.4374554369243873,1767.0
ENSG00000183508.5,TENT5C,0.0929493545183714,0.3633925319466486,2.8446351104055676,333.0
ENSG00000116824.5,CD2,1.5365441906653425,5.859176853494405,1.4432600492093501,1665.0
ENSG00000024526.17,DEPDC1,0.0032770605759682224,0.01339674813794747,3.236038804367485,251.0
ENSG00000117586.11,TNFSF4,0.007646474677259186,0.015136679059474729,1.5977890638512122,1200.0
ENSG00000143185.4,XCL2,0.20665342601787487,1.3565353282805446,4.590430447408648,140.0
ENSG00000135842.17,NIBAN1,0.5512413108242303,1.4536755868124638,1.5304366877445683,1349.0
ENSG00000143184.5,XCL1,0.06077457795431976,0.24201072184844144,2.9333270802058062,311.0
ENSG00000143228.13,NUF2,0.020556107249255214,0.053703931452915306,1.9875561478639052,707.0
ENSG00000143476.18,DTL,0.008540218470705064,0.04382416736632431,3.2849825166148214,248.0
ENSG00000231424.3,ENSG00000231424.3,0.0013902681231380337,0.002182990986818559,1.4019588731121932,1929.0
ENSG00000233410.1,LINC01222,0.0004965243296921549,0.0008935859944732885,1.6925670853024861,1033.0
ENSG00000117650.13,NEK2,0.003972194637537239,0.01229924642114396,2.2684406117890714,517.0
ENSG00000026751.17,SLAMF7,0.3326713008937438,1.0932119517336336,2.14844707098645,592.0
ENSG00000150681.10,RGS18,0.6754716981132075,2.7086544353395534,2.1858817385768825,567.0
ENSG00000227421.2,LINC01724,0.005958291956305859,0.010293226982085775,1.4208474123609558,1861.0
ENSG00000163534.15,FCRL1,0.17070506454816287,0.5430090370485359,2.254164590391464,525.0
ENSG00000227006.2,ENSG00000227006.2,0.00039721946375372393,0.0005957305712727168,1.4374554369243873,1727.0
ENSG00000090104.12,RGS1,0.12720953326713008,0.46300969191427216,2.6195017316046583,393.0
ENSG00000230813.1,ENSG00000230813.1,0.00039721946375372393,0.0005957305712727168,1.4374554369243873,1702.0
ENSG00000236069.2,ENSG00000236069.2,0.00903674280039722,0.017298406634736703,1.5259823961699812,1367.0
ENSG00000118193.12,KIF14,0.007547169811320755,0.016429279481014962,1.7588896773880398,922.0
ENSG00000183780.13,SLC35F3,0.01420059582919563,0.03366464542620171,1.8350906995916785,838.0
