gene_id,gene_symbol,means,dispersions,dispersions_norm
ENSG00000286538.1,ENSG00000286538.1,0.0011281467501433708,0.9598622460084874,2.148931
ENSG00000161249.21,DMKN,0.011982032966444268,0.7108244603000844,1.4119449
ENSG00000267692.1,TAF9P3,0.0005808117259108303,1.0376861487170141,2.379238
ENSG00000142279.13,WTIP,0.004702362283043608,0.7277693721602093,1.4620905
ENSG00000197405.8,C5AR1,0.5002433564319866,1.0782028932242895,1.8693072
ENSG00000012124.17,CD22,0.22101263231478302,1.492927833060248,3.7264504
ENSG00000267757.4,EML2-AS1,0.03299406924565788,0.689875871961538,1.349951
ENSG00000279161.1,ENSG00000279161.1,0.03280129536247898,0.9128633986170778,2.0098457
ENSG00000222614.1,ENSG00000222614.1,0.005088304445407259,0.9158640671100201,2.0187256
ENSG00000269680.1,ENSG00000269680.1,0.002881127579040038,0.8991677802461158,1.9693158
ENSG00000269148.1,ENSG00000269148.1,0.00547314896426718,0.6741899867952337,1.3035312
ENSG00000167748.11,KLK1,0.015031022159688167,1.0895979777995843,2.5328624
ENSG00000087086.15,FTL,4.018386590486901,4.04953743510037,1.3371311
ENSG00000221946.8,FXYD7,0.0642914975329539,0.8195458497683654,1.7336879
ENSG00000171804.11,WDR87,0.0004642824949665487,0.9082847068714093,1.9962958
ENSG00000142046.15,TMEM91,0.16282864990585375,0.8509298382277691,1.8265636
ENSG00000216490.4,IFI30,0.19768381148363,0.6746380190363068,1.3048571
ENSG00000175489.10,LRRC25,0.5496002141929137,0.8928801685600353,1.3347787
ENSG00000167775.11,CD320,0.20903516957397966,0.7165906370010152,1.429009
ENSG00000269318.1,ENSG00000269318.1,0.004987580365503064,0.6510597615929573,1.2350812
ENSG00000267011.5,ENSG00000267011.5,0.01919773938206542,2.066327972392942,5.423333
ENSG00000105427.10,CNFN,0.04362006099315221,0.7117100649616185,1.4145657
ENSG00000174788.10,PCP2,0.010386596937689651,1.1367618582650258,2.672436
ENSG00000104918.8,RETN,0.25773670405617954,1.2718870946232168,3.072317
ENSG00000104921.15,FCER2,0.3416343177947449,1.802431716292535,3.958209
ENSG00000230310.1,LINC02926,0.0014239328320674346,0.9224374997264149,2.0381787
ENSG00000269635.1,ENSG00000269635.1,0.0006436156462184744,1.08525956523029,2.5200236
ENSG00000228887.3,EEF1DP1,0.0024322400500987416,0.666210915729588,1.2799184
ENSG00000197540.8,GZMM,0.8311148333588491,1.619505968609718,1.9451979
ENSG00000010310.9,GIPR,0.011428440697502823,0.6875679920780633,1.3431212
ENSG00000185198.12,PRSS57,0.01742161179172981,1.1297096941971732,2.6515665
ENSG00000167483.19,NIBAN3,0.20927576136118492,1.2531475372283423,3.0168602
ENSG00000182472.9,CAPN12,0.06676175621577023,0.6734692989727732,1.3013985
ENSG00000267892.1,ENSG00000267892.1,0.006887250717053272,0.6791392416604369,1.3181777
ENSG00000279488.1,ENSG00000279488.1,0.0012506053253443887,1.5932134606075614,4.023229
ENSG00000269481.1,ENSG00000269481.1,0.005311301714217681,0.6524584014849917,1.2392201
ENSG00000006638.13,TBXA2R,0.03537362013454156,0.6607657070418679,1.2638043
ENSG00000267939.1,ENSG00000267939.1,0.006325257712777928,0.9888978613521114,2.234857
ENSG00000167641.11,PPP1R14A,0.07272502117963014,1.2977935511020744,3.1489828
ENSG00000099785.11,MARCHF2,0.2604725320176028,0.8025485765331837,1.6833873
ENSG00000130208.10,APOC1,0.0024278892832430305,0.6673773566239507,1.2833704
ENSG00000166289.6,PLEKHF1,0.18700232087845697,0.977617697190633,2.2014754
ENSG00000105711.14,SCN1B,0.015583909933455464,1.2453061843470177,2.993655
ENSG00000170954.12,ZNF415,0.003957321699883617,0.6738270501302088,1.3024572
ENSG00000105374.10,NKG7,1.9445331580099916,4.002303064505789,2.5850554
ENSG00000105370.8,LIM2,0.013028411852875241,0.813829035232627,1.7167699
ENSG00000204577.12,LILRB3,0.5791242134568259,0.8886564477037415,1.3225961
ENSG00000187116.14,LILRA5,0.5343458902115787,0.9268270278005108,1.4326919
ENSG00000239961.3,LILRA4,0.11081349369953161,2.298099393480337,6.1092224
ENSG00000167617.3,CDC42EP5,0.0004662555470420943,0.8312477244145489,1.7683176
ENSG00000269404.7,SPIB,0.22631260909596382,1.4946861070047628,3.7316537
ENSG00000268293.1,ENSG00000268293.1,0.0008724407158972857,0.7980654582895026,1.6701201
ENSG00000269421.1,ENSG00000269421.1,0.0006350121748080822,0.776106847082492,1.6051373
ENSG00000276445.1,ENSG00000276445.1,0.0015814041695070532,0.7594685671126746,1.555899
ENSG00000167414.5,GNG8,0.01805351078363601,0.9784702983930608,2.2039983
ENSG00000160321.16,ZNF208,0.023398998466907676,0.7144782771645054,1.4227577
ENSG00000180739.15,S1PR5,0.1075164813472319,1.1303413902147168,2.6534357
ENSG00000141854.10,MISP3,0.015417851390342166,0.8410196964788125,1.7972361
ENSG00000105246.6,EBI3,0.005727084785527316,1.7810809600166027,4.5791917
ENSG00000267550.1,PTPRS-AS1,0.0019878140248951576,0.6941573373947953,1.3626213
ENSG00000181392.17,SYNE4,0.0029510538370546907,0.7996818892556203,1.6749038
ENSG00000183019.8,MCEMP1,0.1566261933400305,0.7658743090941936,1.5748558
ENSG00000288790.1,ENSG00000288790.1,0.002920763741026524,1.7890670860329005,4.6028256
ENSG00000167618.10,LAIR2,0.3810945113592993,1.6422622048824256,3.4962301
ENSG00000242019.2,KIR3DL3,0.003249176336355109,0.8906733868740198,1.944178
